Shop Name,Cuisine,Location,Rating,Costing for Two,Cost for Two,Cuisine_1,Cuisine_2,Cuisine_3,Cuisine_4,Cuisine_5,Cuisine_6,Cuisine_7,Cuisine_8,Cuisine_9,Cuisine_10,Cuisine_11,Cuisine_12,Cuisine_13,Cuisine_14,Cuisine_15,Cuisine_16,Cuisine_17,Cuisine_18
Kanti Sweets,['Sweets'],"Koramangala, Koramangala",4.3,₹ 150,150,Sweets,,,,,,,,,,,,,,,,,
Mumbai Tiffin,"['North Indian', ' Home Food', ' Thalis', ' Combo']","Sector 5, HSR",4.4,₹ 400,400,North Indian, Home Food, Thalis, Combo,,,,,,,,,,,,,,
Sri Krishna sagar,"['South Indian', ' North Indian', ' Fast Food', ' Beverages', ' Jain']","6th Block, Koramangala",4.1,₹ 126,126,South Indian, North Indian, Fast Food, Beverages, Jain,,,,,,,,,,,,,
Al Daaz,"['American', ' Arabian', ' Chinese', ' Desserts', ' Fast Food', ' Mughlai', ' North Indian']","HSR, HSR",4.4,₹ 400,400,American, Arabian, Chinese, Desserts, Fast Food, Mughlai, North Indian,,,,,,,,,,,
Beijing Bites,"['Chinese', ' Thai']","5th Block, Koramangala",4.1,₹ 450,450,Chinese, Thai,,,,,,,,,,,,,,,,
Kitchens of Punjab,['North Indian'],"Koramangala 4th  Block, Koramangala",4.2,₹ 350,350,North Indian,,,,,,,,,,,,,,,,,
99 VARIETY DOSA AND PAV BHAJI- Malli Mane Food Court,"['Fast Food', ' North Indian', ' Chinese']","BTM 2nd Stage, BTM",4.1,₹ 200,200,Fast Food, North Indian, Chinese,,,,,,,,,,,,,,,
La Pino'z Pizza,['Italian'],"BTM, BTM",3.9,₹ 500,500,Italian,,,,,,,,,,,,,,,,,
Hotel Manu,"['South Indian', ' Kerala', ' Chinese', ' North Indian']","HSR, HSR",4.1,₹ 350,350,South Indian, Kerala, Chinese, North Indian,,,,,,,,,,,,,,
Yumlane Pizza,"['Pizzas', ' Italian', ' Mexican']","9th Main road, Koramangala",3.8,₹ 150,150,Pizzas, Italian, Mexican,,,,,,,,,,,,,,,
Ambur Star Briyani,"['Chinese', ' South Indian', ' North Indian', ' Desserts', ' Fast Food', ' Kerala', ' Andhra', ' Beverages', ' Mughlai', ' Seafood']","outer ring road, BTM",4.1,₹ 500,500,Chinese, South Indian, North Indian, Desserts, Fast Food, Kerala, Andhra, Beverages, Mughlai, Seafood,,,,,,,,
Cake Box,['Desserts'],"Koramangala, Koramangala",4.0,₹ 247,247,Desserts,,,,,,,,,,,,,,,,,
Meghana Foods,"['Chinese', ' Andhra', ' Biryani', ' Seafood']","5th Block, Koramangala",4.3,₹ 550,550,Chinese, Andhra, Biryani, Seafood,,,,,,,,,,,,,,
Momoz,['Chinese'],"5th Block, Koramangala",4.3,₹ 450,450,Chinese,,,,,,,,,,,,,,,,,
A2B - Adyar Ananda Bhavan,"['South Indian', ' Chinese', ' Desserts', ' North Indian']","7th Block, Koramangala",4.2,₹ 450,450,South Indian, Chinese, Desserts, North Indian,,,,,,,,,,,,,,
Shawarma Inc,"['Arabian', ' Fast Food']","1st MAin, Koramangala",4.1,₹ 150,150,Arabian, Fast Food,,,,,,,,,,,,,,,,
WarmOven Cake & Desserts,"['Desserts', ' Beverages']","Koramangala, Koramangala",4.1,₹ 200,200,Desserts, Beverages,,,,,,,,,,,,,,,,
Sri Lakshmi Dhaba,['North Indian'],"Bommanahalli, BTM",3.7,₹ 200,200,North Indian,,,,,,,,,,,,,,,,,
Falahaar & Kota Kachori,['North Indian'],"6th block, Koramangala",4.2,₹ 300,300,North Indian,,,,,,,,,,,,,,,,,
Shree Khana Khazana,"['Indian', ' Rajasthani']","Sector 4, HSR",4.1,₹ 350,350,Indian, Rajasthani,,,,,,,,,,,,,,,,
Just Bake - Cakes & confectioners,"['Desserts', ' Bakery']","BTM 1st stage, BTM",4.3,₹ 300,300,Desserts, Bakery,,,,,,,,,,,,,,,,
Maa Di Hatti,"['Chinese', ' Healthy Food', ' North Indian']","Jakkasandra Extn, Koramangala",4.0,₹ 129,129,Chinese, Healthy Food, North Indian,,,,,,,,,,,,,,,
Hotel Godavari,"['North Indian', ' Chinese', ' Hyderabadi']","Marutinagar Main Road, BTM",4.0,₹ 400,400,North Indian, Chinese, Hyderabadi,,,,,,,,,,,,,,,
Rolls On Wheels,['Fast Food'],"1st Block, Koramangala",4.1,₹ 300,300,Fast Food,,,,,,,,,,,,,,,,,
New Udupi Grand,"['Chinese', ' Jain', ' North Indian', ' South Indian']","HSR, HSR",4.3,₹ 150,150,Chinese, Jain, North Indian, South Indian,,,,,,,,,,,,,,
Swad Punjab da,['Indian'],"BTM, BTM",4.1,₹ 250,250,Indian,,,,,,,,,,,,,,,,,
Rice Bowl,"['North Indian', ' South Indian', ' Chinese']","6th Block, Koramangala",4.1,₹ 250,250,North Indian, South Indian, Chinese,,,,,,,,,,,,,,,
High N Hungry,"['Andhra', ' Biryani', ' Chinese', ' Desserts', ' Fast Food', ' Seafood', ' South Indian']","4th Cross, BTM",4.1,₹ 350,350,Andhra, Biryani, Chinese, Desserts, Fast Food, Seafood, South Indian,,,,,,,,,,,
Burger King,"['American', ' Fast Food']","7th Block, Koramangala",3.9,₹ 350,350,American, Fast Food,,,,,,,,,,,,,,,,
Nandhana Palace,"['Biryani', ' Seafood', ' North Indian', ' Chinese', ' Desserts', ' Andhra', ' South Indian']","Koramangala, Koramangala",4.0,₹ 500,500,Biryani, Seafood, North Indian, Chinese, Desserts, Andhra, South Indian,,,,,,,,,,,
Easy Bites,"['Snacks', ' American']","koramangala, Koramangala",3.9,₹ 200,200,Snacks, American,,,,,,,,,,,,,,,,
Bengali Fun Foods,['North Indian'],"BTM 2nd stage, BTM",4.2,₹ 300,300,North Indian,,,,,,,,,,,,,,,,,
Madurai Idly Shop,['South Indian'],"6th Block, Koramangala",4.0,₹ 150,150,South Indian,,,,,,,,,,,,,,,,,
Oottupura,"['Kerala', ' South Indian']","BTM, BTM",4.3,₹ 268,268,Kerala, South Indian,,,,,,,,,,,,,,,,
Taco Bell,['Mexican'],"6th Block, Koramangala",4.3,₹ 600,600,Mexican,,,,,,,,,,,,,,,,,
Hyderabadi Biryani Hub,"['North Indian', ' Chinese', ' Biryani']","3rd main, BTM",3.9,₹ 450,450,North Indian, Chinese, Biryani,,,,,,,,,,,,,,,
Biriyani Zone,"['North Indian', ' Chinese', ' Biryani']","HSR 1st sector, HSR",4.1,₹ 600,600,North Indian, Chinese, Biryani,,,,,,,,,,,,,,,
Gongura's,"['North Indian', ' Chinese', ' Biryani']","Sector 7, HSR",3.8,₹ 300,300,North Indian, Chinese, Biryani,,,,,,,,,,,,,,,
Bathinda Junction,['North Indian'],"5th Block, Koramangala",4.1,₹ 250,250,North Indian,,,,,,,,,,,,,,,,,
Leon Grill,"['Turkish', ' Portuguese', ' American']","3rd Sector, HSR",4.3,₹ 300,300,Turkish, Portuguese, American,,,,,,,,,,,,,,,
Venu's Donne Biryani,['Biryani'],"Chocolate Factory Road, BTM",4.3,₹ 300,300,Biryani,,,,,,,,,,,,,,,,,
Cakewala,['Desserts'],"HSR, HSR",4.3,₹ 450,450,Desserts,,,,,,,,,,,,,,,,,
Swadista Aahar,"['South Indian', ' Snacks', ' North Indian', ' Chinese']","16th Main Road, 2nd Stage, BTM",4.1,₹ 250,250,South Indian, Snacks, North Indian, Chinese,,,,,,,,,,,,,,
Cream Stone,['Desserts'],"5th Block, Koramangala",4.3,₹ 250,250,Desserts,,,,,,,,,,,,,,,,,
Svadu Pure Ghee Sweets,"['Desserts', ' Fast Food', ' Sweets', ' Chaat']","1st Stage, BTM",4.1,₹ 200,200,Desserts, Fast Food, Sweets, Chaat,,,,,,,,,,,,,,
Sai Abhiruchi,"['Chinese', ' South Indian', ' Andhra', ' Hyderabadi']","BTM, BTM",3.7,₹ 250,250,Chinese, South Indian, Andhra, Hyderabadi,,,,,,,,,,,,,,
Pizza Hut,"['Pizzas', ' Fast Food']","Hosur Main Road, Koramangala",4.0,₹ 600,600,Pizzas, Fast Food,,,,,,,,,,,,,,,,
Hyderabad Biryaani House,"['Biryani', ' Mughlai', ' South Indian']","1st Cross Road, 5th Block, Near Jyothi Nivas College, Koramangala",4.0,₹ 350,350,Biryani, Mughlai, South Indian,,,,,,,,,,,,,,,
China Pearl,"['Chinese', ' Asian']","6th Block, Koramangala",4.4,₹ 527,527,Chinese, Asian,,,,,,,,,,,,,,,,
